Product_ID|Price|Location|Shipping|Product_desc|In_Stock|ref_link|Product_image
10|$6,164|Christmas Island|$20.08|congue, elit|True|yahoo.com|https://analyticsindiamag.com/wp-content/uploads/2017/06/Bws7vMhIIAAFK9R.jpg
75|$9,586|Bouvet Island|$44.77|gravida sit amet, dapibus id, blandit at,|True|amazon.com|https://analyticsindiamag.com/wp-content/uploads/2017/06/Trump_Big_Data_Meme.jpg
197|$8,390|Sint Maarten|$13.65|lectus ante dictum mi, ac mattis|False|amazon.com|https://analyticsindiamag.com/wp-content/uploads/2017/06/Trump_Big_Data_Meme.jpg
64|$7,372|Bolivia|$81.30|et, commodo at, libero. Morbi accumsan laoreet ipsum.|False|amazon.com|https://i.imgur.com/Nm2eU3C.png
135|$5,790|Wallis and Futuna|$96.01|pretium neque.|True|google.com|https://i.imgur.com/Nm2eU3C.png
190|$5,896|Pakistan|$41.39|eros. Nam consequat|True|amazon.com|https://analyticsindiamag.com/wp-content/uploads/2017/06/Bws7vMhIIAAFK9R.jpg
8|$9,254|Romania|$14.00|dictum mi, ac mattis velit justo nec ante. Maecenas|False|amazon.com|https://analyticsindiamag.com/wp-content/uploads/2017/06/Trump_Big_Data_Meme.jpg
126|$7,386|French Polynesia|$32.05|molestie orci tincidunt adipiscing. Mauris molestie pharetra|True|yahoo.com|https://analyticsindiamag.com/wp-content/uploads/2017/06/Trump_Big_Data_Meme.jpg
139|$7,189|Niger|$26.96|malesuada vel, venenatis vel, faucibus id, libero. Donec consectetuer mauris|True|amazon.com|https://analyticsindiamag.com/wp-content/uploads/2017/06/Bws7vMhIIAAFK9R.jpg
24|$5,332|Bonaire, Sint Eustatius and Saba|$84.01|non, vestibulum nec, euismod in,|True|yahoo.com|https://analyticsindiamag.com/wp-content/uploads/2017/06/Bws7vMhIIAAFK9R.jpg
184|$6,494|Egypt|$31.87|erat, eget tincidunt dui augue eu|True|yahoo.com|https://i.imgur.com/Nm2eU3C.png
37|$5,398|Colombia|$19.44|erat semper rutrum.|False|amazon.com|https://analyticsindiamag.com/wp-content/uploads/2017/06/Bws7vMhIIAAFK9R.jpg
57|$5,446|Tunisia|$91.67|ut quam vel sapien imperdiet ornare. In faucibus.|False|yahoo.com|https://i.imgur.com/Nm2eU3C.png
89|$6,583|Bolivia|$9.23|et|True|yahoo.com|https://miro.medium.com/max/500/1*ZhYNqU2y96_f3QkWq9oiWQ.jpeg
186|$7,230|Botswana|$63.99|mi, ac mattis velit justo nec ante. Maecenas mi felis,|False|yahoo.com|https://miro.medium.com/max/500/1*ZhYNqU2y96_f3QkWq9oiWQ.jpeg
126|$5,963|Tunisia|$8.90|imperdiet ornare. In|True|yahoo.com|https://miro.medium.com/max/500/1*ZhYNqU2y96_f3QkWq9oiWQ.jpeg
165|$5,249|Philippines|$52.70|suscipit nonummy. Fusce fermentum fermentum arcu. Vestibulum ante ipsum|True|amazon.com|https://analyticsindiamag.com/wp-content/uploads/2017/06/Trump_Big_Data_Meme.jpg
193|$5,628|Bosnia and Herzegovina|$26.00|placerat. Cras dictum ultricies ligula. Nullam enim.|True|yahoo.com|https://analyticsindiamag.com/wp-content/uploads/2017/06/Trump_Big_Data_Meme.jpg
125|$9,077|Syria|$49.03|Quisque imperdiet,|True|yahoo.com|https://analyticsindiamag.com/wp-content/uploads/2017/06/Bws7vMhIIAAFK9R.jpg
91|$8,170|China|$64.85|sed|False|yahoo.com|https://i.imgur.com/Nm2eU3C.png
19|$8,463|New Zealand|$77.95|lectus justo eu arcu.|True|amazon.com|https://miro.medium.com/max/500/1*ZhYNqU2y96_f3QkWq9oiWQ.jpeg
107|$8,880|United Arab Emirates|$60.56|et, rutrum|False|amazon.com|https://analyticsindiamag.com/wp-content/uploads/2017/06/Trump_Big_Data_Meme.jpg
167|$8,489|Germany|$84.30|a feugiat|False|yahoo.com|https://analyticsindiamag.com/wp-content/uploads/2017/06/Trump_Big_Data_Meme.jpg
134|$6,373|Bolivia|$52.24|diam. Proin dolor. Nulla semper tellus id nunc interdum feugiat.|False|yahoo.com|https://i.imgur.com/Nm2eU3C.png
