,gtin,product_name,product_desc,availability,current_price,shipping_cost,product_rating,vendor_name,ref_link,product_img
0,869386305049,AUGUST,"congue, elit",True,"$6,164",$20.08,4,Christmas Island,yahoo.com,https://analyticsindiamag.com/wp-content/uploads/2017/06/Bws7vMhIIAAFK9R.jpg
1,5441916821539,ACCEL,"gravida sit amet, dapibus id, blandit at,",True,"$9,586",$44.77,5,Bouvet Island,amazon.com,https://analyticsindiamag.com/wp-content/uploads/2017/06/Trump_Big_Data_Meme.jpg
2,4806378086195,AKILA,"lectus ante dictum mi, ac mattis",False,"$8,390",$13.65,3,Sint Maarten,amazon.com,https://analyticsindiamag.com/wp-content/uploads/2017/06/Trump_Big_Data_Meme.jpg
3,5392990074153,ABLE,"et, commodo at, libero. Morbi accumsan laoreet ipsum.",False,"$7,372",$81.30,5,Bolivia,amazon.com,https://i.imgur.com/Nm2eU3C.png
4,2129655472375,AERYS,pretium neque.,True,"$5,790",$96.01,5,Wallis and Futuna,google.com,https://i.imgur.com/Nm2eU3C.png
5,9417427261760,AKELLA,eros. Nam consequat,True,"$5,896",$41.39,2,Pakistan,amazon.com,https://analyticsindiamag.com/wp-content/uploads/2017/06/Bws7vMhIIAAFK9R.jpg
6,9801577440245,MARCH,"dictum mi, ac mattis velit justo nec ante. Maecenas",False,"$9,254",$14.00,3,Romania,amazon.com,https://analyticsindiamag.com/wp-content/uploads/2017/06/Trump_Big_Data_Meme.jpg
7,603582494568,ADRIENNE,molestie orci tincidunt adipiscing. Mauris molestie pharetra,True,"$7,386",$32.05,3,French Polynesia,yahoo.com,https://analyticsindiamag.com/wp-content/uploads/2017/06/Trump_Big_Data_Meme.jpg
8,3404618573304,AGASHA,"malesuada vel, venenatis vel, faucibus id, libero. Donec consectetuer mauris",True,"$7,189",$26.96,3,Niger,amazon.com,https://analyticsindiamag.com/wp-content/uploads/2017/06/Bws7vMhIIAAFK9R.jpg
9,4908444128449,SEPTEMBER,"non, vestibulum nec, euismod in,",True,"$5,332",$84.01,5,"Bonaire, Sint Eustatius and Saba",yahoo.com,https://analyticsindiamag.com/wp-content/uploads/2017/06/Bws7vMhIIAAFK9R.jpg
10,5889401011583,AKAMARU,"erat, eget tincidunt dui augue eu",True,"$6,494",$31.87,4,Egypt,yahoo.com,https://i.imgur.com/Nm2eU3C.png
11,9383911996606,AALSKA,erat semper rutrum.,False,"$5,398",$19.44,3,Colombia,amazon.com,https://analyticsindiamag.com/wp-content/uploads/2017/06/Bws7vMhIIAAFK9R.jpg
12,3823300106351,ABI,ut quam vel sapien imperdiet ornare. In faucibus.,False,"$5,446",$91.67,5,Tunisia,yahoo.com,https://i.imgur.com/Nm2eU3C.png
