,productname,productlink,price,stockinfo,country
0," SAMSUNG Galaxy A50 128GB, schwarz",mediamarkt.at/de/product/_samsung-galaxy-a50-128gb-schwarz-1708232.html,249.0,Lieferung in 2-3 Wochen Marktverfügbarkeit prüfen,Austria
1, SAMSUNG Galaxy S9 Duos 64GB Midnight Black,mediamarkt.at/de/product/_samsung-galaxy-s9-duos-64gb-midnight-black-1635898.html,399.0,"sofort verfügbar im Onlineshop 
 Lieferzeit 1-3 Werktage Marktverfügbarkeit prüfen",Austria
2," SAMSUNG Galaxy A50 128GB, weiß",mediamarkt.at/de/product/_samsung-galaxy-a50-128gb-wei%C3%9F-1708235.html,249.0,Lieferung in 2-3 Wochen Marktverfügbarkeit prüfen,Austria
3," SAMSUNG Galaxy A50 128GB, blau",mediamarkt.at/de/product/_samsung-galaxy-a50-128gb-blau-1708233.html,249.0,Lieferung in 6-9 Werktagen Marktverfügbarkeit prüfen,Austria
4," SAMSUNG Galaxy A40 A405FN, schwarz",mediamarkt.at/de/product/_samsung-galaxy-a40-a405fn-schwarz-1708237.html,229.9,"sofort verfügbar im Onlineshop 
 Lieferzeit 1-3 Werktage Marktverfügbarkeit prüfen",Austria
5," SAMSUNG Galaxy A50 128GB, coral",mediamarkt.at/de/product/_samsung-galaxy-a50-128gb-coral-1708234.html,249.0,Lieferung in 2-3 Wochen Marktverfügbarkeit prüfen,Austria
6, APPLE iPhone 11 64GB Black (MWLT2ZD/A),mediamarkt.at/de/product/_apple-iphone-11-64gb-black-mwlt2zd-a-1746247.html,799.0,"sofort verfügbar im Onlineshop 
 Lieferzeit 1-3 Werktage Marktverfügbarkeit prüfen",Austria
7, APPLE iPhone 11 128GB Black (MWM02ZD/A),mediamarkt.at/de/product/_apple-iphone-11-128gb-black-mwm02zd-a-1746253.html,849.0,Lieferung in 2-3 Wochen Marktverfügbarkeit prüfen,Austria
8, APPLE iPhone 7 32 GB Schwarz,mediamarkt.at/de/product/_apple-iphone-7-32-gb-schwarz-1527332.html,379.0,Lieferung in 6-9 Werktagen Marktverfügbarkeit prüfen,Austria
9," HUAWEI P Smart Z, midnight black",mediamarkt.at/de/product/_huawei-p-smart-z-midnight-black-1736314.html,166.0,"sofort verfügbar im Onlineshop 
 Lieferzeit 1-3 Werktage Marktverfügbarkeit prüfen",Austria
10, APPLE iPhone 7 32 GB Rosegold,mediamarkt.at/de/product/_apple-iphone-7-32-gb-rosegold-1527335.html,379.0,Lieferung in 6-9 Werktagen Marktverfügbarkeit prüfen,Austria
11," SAMSUNG Galaxy A40 A405FN, blau",mediamarkt.at/de/product/_samsung-galaxy-a40-a405fn-blau-1708236.html,229.9,Lieferung in 6-9 Werktagen Marktverfügbarkeit prüfen,Austria
12," HUAWEI P20 Lite, schwarz",mediamarkt.at/de/product/_huawei-p20-lite-schwarz-1642417.html,199.99,Lieferung in 6-9 Werktagen Marktverfügbarkeit prüfen,Austria
13, APPLE iPhone 11 64GB White (MWLU2ZD/A),mediamarkt.at/de/product/_apple-iphone-11-64gb-white-mwlu2zd-a-1746248.html,799.0,Lieferung in 2-3 Wochen Marktverfügbarkeit prüfen,Austria
14, CATERPILLAR S31 LTE SINGLE SIM,mediamarkt.at/de/product/_caterpillar-s31-lte-single-sim-1652145.html,199.99,"sofort verfügbar im Onlineshop 
 Lieferzeit 1-3 Werktage Marktverfügbarkeit prüfen",Austria
